Date,Open,High,Low,Close,MA5,MA20,MA60,MA120
2022-05-05,39695.746094,39789.28125,35856.515625,36575.140625,38204.4773438,39400.314648550004,41455.77701833333,41000.024837375
2022-05-06,36573.183594,36624.359375,35482.132813,36040.921875,37718.8429688,39181.136523550005,41422.09173186667,40940.69143893333
2022-05-07,36042.503906,36129.925781,34940.824219,35501.953125,37113.3679688,38970.386523550005,41368.16979176666,40890.225195441664
2022-05-08,35502.941406,35502.941406,33878.964844,34059.265625,36375.1304688,38632.0390626,41236.10878916666,40826.26956393333
2022-05-09,34060.015625,34222.074219,30296.953125,30296.953125,34494.846875,38071.749218850004,41083.76699228333,40729.48082695
2022-05-10,30273.654297,32596.308594,29944.802734,31022.90625,33384.4,37554.175586050005,40954.232552183326,40639.494531375
2022-05-11,31016.183594,32013.402344,28170.414063,28936.355469,31963.4867188,36974.62519545,40788.10494801667,40524.498698041665
2022-05-12,28936.734375,30032.439453,26350.490234,29047.751953,30672.6464844,36439.99677745,40641.40641285,40400.320784625
2022-05-13,29030.910156,30924.802734,28782.330078,29283.103516,29717.4140626,35929.8154298,40468.34557301667,40289.41689465
2022-05-14,29285.642578,30192.802734,28702.910156,30101.265625,29678.2765626,35461.4140626,40314.386914166666,40181.0966147
2022-05-15,30098.585938,31308.191406,29527.740234,31305.113281,29734.7179688,35003.75429695,40150.40664071667,40082.160905058336
2022-05-16,31304.375,31305.341797,29251.884766,29862.917969,29920.0304688,34591.027148500005,39965.59895843334,39971.73623058333
2022-05-17,29862.408203,30694.490234,29570.302734,30425.857422,30195.6515626,34150.2639649,39776.01064463334,39873.19711925833
2022-05-18,30424.478516,30618.716797,28720.271484,28720.271484,30083.0851562,33597.586132849996,39551.50429696667,39759.402441516664
2022-05-19,28720.359375,30430.751953,28708.955078,30314.333984,30125.698828,33182.8116211,39369.279459716665,39664.152490341665
2022-05-20,30311.119141,30664.976563,28793.605469,29200.740234,29704.8242186,32757.104882800002,39171.32519538333,39568.488509216666
2022-05-21,29199.859375,29588.869141,29027.394531,29432.226563,29618.685937399998,32305.261523450004,38955.88216153333,39509.94609385833
2022-05-22,29432.472656,30425.861328,29275.183594,30323.722656,29598.258984199998,31894.98125,38746.39492195,39470.72503265833
2022-05-23,30309.396484,30590.585938,28975.560547,29098.910156,29673.986718599997,31462.404101550004,38498.694531316665,39410.909244891656
2022-05-24,29101.125,29774.355469,28786.589844,29655.585938,29542.2371094,30960.26484375,38253.80878913333,39352.586393333324
2022-05-25,29653.134766,30157.785156,29384.949219,29562.361328,29614.5613282,30609.6258789,38004.83434251666,39290.98937185
2022-05-26,29564.777344,29834.160156,28261.90625,29267.224609,29581.560937399998,30270.9410156,37712.27988286667,39227.78190114166
2022-05-27,29251.140625,29346.943359,28326.613281,28627.574219,29242.33125,29927.2220703,37403.93938808333,39156.859733175
2022-05-28,28622.625,28814.900391,28554.566406,28814.900391,29185.529297,29665.003808599995,37093.09222011667,39082.11446950833
2022-05-29,29019.867188,29498.009766,28841.107422,29445.957031,29143.6035156,29622.4540039,36799.48043625,39009.6792807
2022-05-30,29443.365234,31949.630859,29303.572266,31726.390625,29576.409375,29657.628222649997,36569.275683650005,38958.08585621666
2022-05-31,31723.865234,32249.863281,31286.154297,31792.310547,30081.4265626,29800.425976550003,36327.786783916665,38902.32906910833
2022-06-01,31792.554688,31957.285156,29501.587891,29799.080078,30315.7277344,29837.992382800003,36059.95563156667,38827.794124441665
2022-06-02,29794.890625,30604.734375,29652.705078,30467.488281,30646.2453124,29897.211621050003,35793.52099615,38773.748323658336
2022-06-03,30467.806641,30633.035156,29375.689453,29704.390625,30697.932031199998,29877.367871050003,35511.549576883335,38711.663232508334
2022-06-04,29706.138672,29930.564453,29500.005859,29832.914063,30319.2367188,29803.757910149998,35249.498274800004,38614.430224699994
2022-06-05,29835.117188,30117.744141,29574.449219,29906.662109,29942.1070312,29805.945117149997,35027.8303386,38518.309375083336
2022-06-06,29910.283203,31693.291016,29894.1875,31370.671875,30256.4253906,29853.1858398,34825.61074225,38426.294694091666
2022-06-07,31371.742188,31489.683594,29311.683594,31155.478516,30394.0234376,29974.9461914,34640.07431646667,38320.587972091664
2022-06-08,31151.480469,31253.691406,29944.404297,30214.355469,30496.016406400002,29969.94726565,34430.61129563333,38204.720556725006
2022-06-09,30215.279297,30609.310547,30020.265625,30111.998047,30551.8332032,30015.5101563,34229.01673183333,38086.163899825
2022-06-10,30110.330078,30245.808594,28978.146484,29083.804688,30387.261719000002,29998.08906255,34055.048437566664,37965.48632821666
2022-06-11,29084.666016,29401.916016,28236.212891,28360.810547,29785.2894534,29899.9434571,33858.94222011667,37848.426936941665
2022-06-12,28373.513672,28502.685547,26762.648438,26762.648438,28906.723437800003,29783.130371199997,33618.874186266665,37719.411767674996
2022-06-13,26737.578125,26795.589844,22141.257813,22487.388672,27361.330078400002,29424.720507899998,33328.072070383336,37555.16070973333
2022-06-14,22487.986328,23018.951172,20950.818359,22206.792969,25780.2890628,29056.942089950004,33022.294205800004,37385.326334733334
2022-06-15,22196.730469,22642.671875,20178.376953,22572.839844,24478.096094,28722.222851699997,32724.766796950003,37201.973307391665
2022-06-16,22576.304688,22868.921875,20265.226563,20381.650391,22882.2640628,28309.9266603,32402.511751383332,37005.47156585834
2022-06-17,20385.71875,21243.3125,20326.519531,20471.482422,21624.030859600003,27892.755761850003,32063.266211016668,36838.25048838333
2022-06-18,20473.425781,20736.041016,17708.623047,19017.642578,20930.081640800003,27371.340039199997,31688.51442065,36663.139371841666
2022-06-19,19010.902344,20683.822266,18067.152344,20553.271484,20599.3773438,26812.68408215,31341.495963616668,36500.06533212499
2022-06-20,20553.371094,20913.322266,19689.169922,20599.537109,20204.7167968,26253.04541025,31009.36552741667,36351.46665048333
2022-06-21,20594.294922,21620.628906,20415.0625,20710.597656,20270.506249799997,25798.62128915,30692.203483133333,36215.0942872
2022-06-22,20719.414063,20835.75,19848.078125,19987.029297,20173.615624799997,25274.59833995,30367.2084636,36062.602636808326
2022-06-23,19986.607422,21135.761719,19950.117188,21085.876953,20587.2624998,24843.67265635,30060.818196666667,35927.513525475006
2022-06-24,21084.648438,21472.917969,20777.511719,21231.65625,20722.939453,24413.6097657,29740.373990933334,35785.00558276667
2022-06-25,21233.609375,21520.914063,20964.585938,21502.337891,20903.4996094,23993.393554799997,29463.455273483334,35637.40657560834
2022-06-26,21496.494141,21783.724609,21016.269531,21027.294922,20966.8390626,23476.22470715,29159.891503950003,35486.75779630834
2022-06-27,21028.238281,21478.089844,20620.199219,20735.478516,21116.528906400003,22955.22470715,28842.585677133335,35345.305240975
2022-06-28,20731.544922,21164.423828,20228.8125,20280.634766,20955.480469000002,22458.538672000002,28537.09918625,35154.3669109
2022-06-29,20281.169922,20364.15625,19937.791016,20104.023438,20729.953906600003,21958.13994155,28243.584993549997,34952.278466891665
2022-06-30,20108.3125,20141.160156,18729.65625,19784.726563,20386.431641,21493.1860353,27932.17887376667,34751.11687835
2022-07-01,19820.470703,20632.671875,19073.708984,19269.367188,20034.846094200002,21038.61386735,27611.179524816667,34557.93002939167
2022-07-02,19274.835938,19371.748047,19027.082031,19242.255859,19736.2015628,20662.5942384,27302.709570383337,34392.135449308335
2022-07-03,19242.095703,19558.269531,18966.951172,19297.076172,19539.489844,20503.0786134,26962.68798835,34224.606201258335
2022-07-04,19297.314453,20258.748047,19063.066406,20231.261719,19564.9375002,20404.302050899998,26690.29000658333,34073.033512458336
2022-07-05,20225.353516,20635.466797,19341.232422,20190.115234,19646.0152344,20285.1658204,26426.1098959,33924.100813883335
2022-07-06,20194.619141,20595.529297,19823.511719,20548.246094,19901.7910156,20293.49560555,26176.88144538333,33772.525618575
2022-07-07,20547.814453,21771.816406,20296.103516,21637.587891,20380.857422,20351.800879,25969.85348315,33602.981136158334
2022-07-08,21637.154297,22314.941406,21257.453125,21731.117188,20867.665625200003,20487.474609499997,25827.08955086667,33455.428271575
2022-07-09,21716.828125,21877.138672,21445.957031,21592.207031,21139.8546876,20539.42138685,25669.91123055,33312.071891366664
2022-07-10,21591.080078,21591.080078,20727.123047,20860.449219,21273.921484600003,20552.466992349997,25535.31279305,33161.70887053334
2022-07-11,20856.353516,20856.353516,19924.539063,19970.556641,21158.383594,20515.4649416,25384.026204516664,33012.71630868334
2022-07-12,19970.474609,20043.445313,19308.53125,19323.914063,20695.6488284,20482.309179900003,25218.039713633338,32843.192643325
2022-07-13,19325.972656,20223.052734,18999.953125,20212.074219,20391.8402346,20438.6190432,25053.219856866668,32683.80338551667
2022-07-14,20211.466797,20789.894531,19689.257813,20569.919922,20187.3828128,20405.532226799998,24874.299967549996,32512.353304133336
2022-07-15,20573.15625,21138.244141,20397.0,20836.328125,20182.558594000002,20372.2317385,24723.856803483333,32344.727880958337
2022-07-16,20834.103516,21514.404297,20518.898438,21190.316406,20426.510547,20380.382812699998,24569.931119883335,32172.970882258334
2022-07-17,21195.041016,21600.640625,20778.179688,20779.34375,20717.5964844,20382.5760744,24437.582324316667,31994.543310641668
2022-07-18,20781.912109,22633.033203,20781.912109,22485.689453,21172.3195312,20492.82880875,24307.10491546667,31838.192187591667
2022-07-19,22467.849609,23666.962891,21683.40625,23389.433594,21736.2222656,20657.099316550004,24210.2498048,31690.787500091665
2022-07-20,23393.191406,24196.818359,23009.949219,23231.732422,22215.303125,20829.4496095,24106.908235783332,31531.395198658334
2022-07-21,23233.201172,23388.322266,22431.148438,23164.628906,22610.165625,21024.2126954,23987.59000661667,31366.992464283332
2022-07-22,23163.751953,23671.927734,22603.416016,22714.978516,22997.292578200002,21197.84882825,23881.19114595,31189.94283863333
2022-07-23,22706.984375,22977.210938,22002.910156,22465.478516,22993.2503908,21356.26894545,23761.356022250002,31007.582405691664
2022-07-24,22465.509766,22974.001953,22306.839844,22609.164063,22837.196484599997,21475.16406265,23645.469401166665,30825.151871841666
2022-07-25,22607.15625,22649.121094,21361.642578,21361.701172,22463.1902346,21533.743359549997,23513.710677216666,30612.99528004167
2022-07-26,21361.121094,21361.121094,20776.816406,21239.753906,22078.2152346,21568.31875015,23390.580338666667,30397.259863375
2022-07-27,21244.169922,22986.529297,21070.806641,22930.548828,22121.329297,21632.966797,23292.507812616663,30192.800016366666
2022-07-28,22933.640625,24110.470703,22722.265625,23843.886719,22397.010937599996,21738.60527355,23199.139974083333,29999.31020516667
2022-07-29,23845.212891,24294.787109,23481.173828,23804.632813,22636.1046876,21849.22656265,23067.110677216668,29818.193180433336
2022-07-30,23796.818359,24572.580078,23580.507813,23656.207031,23095.0058594,21989.01445325,22931.50895195,29629.647867933334
